2.000000	4.000000	8.000000	16.000000	32.000000	64.000000	128.000000	256.000000	512.000000	1024.000000	2048.000000	4096.000000	8192.000000	
0.020064	0.025024	0.020512	0.021760	0.028928	0.029184	0.069088	0.367744	2.899140	27.407600	217.904000	1442.780000	11719.300000	
0.021120	0.024992	0.019936	0.022240	0.023808	0.027808	0.088992	0.369888	2.864510	27.423500	196.176000	1443.990000	11752.300000	
0.018368	0.021248	0.018144	0.021472	0.024224	0.028832	0.072384	0.365440	2.909060	27.342900	177.911000	1441.900000	11764.500000	
0.019648	0.023296	0.018656	0.021632	0.024032	0.029472	0.086368	0.366720	3.567780	27.400100	177.949000	1444.140000	11791.900000	
0.023168	0.021152	0.019104	0.021440	0.023488	0.029472	0.074176	0.367808	3.533380	27.347600	178.296000	1445.110000	11783.600000	
0.036256	0.023968	0.020896	0.021472	0.024064	0.030016	0.078784	0.365248	3.595940	27.339400	177.921000	1473.370000	12045.500000	
0.020000	0.021216	0.019264	0.020544	0.023296	0.030880	0.091232	0.363296	3.559650	27.366800	177.844000	1444.670000	11787.800000	
0.020000	0.022208	0.022080	0.022464	0.023968	0.030144	0.072224	0.363136	3.552960	27.337100	178.380000	1441.870000	11822.800000	
0.020864	0.021376	0.021152	0.023968	0.025376	0.029408	0.091808	0.381568	3.540320	27.356600	176.166000	1444.230000	11806.000000	
