2.000000	4.000000	8.000000	16.000000	32.000000	64.000000	128.000000	256.000000	512.000000	1024.000000	2048.000000	4096.000000	
0.018208	0.021312	0.022048	0.027360	0.025568	0.054400	0.244768	2.127040	17.666000	141.367000	1254.900000	8931.880000	
0.019168	0.019872	0.020000	0.023648	0.037312	0.056608	0.256800	2.123970	17.722200	141.284000	1125.850000	8928.450000	
0.018496	0.019776	0.021728	0.027008	0.024640	0.055744	0.255872	2.126560	17.728600	141.328000	1125.990000	8928.550000	
0.018752	0.029376	0.019488	0.022656	0.024608	0.054048	0.247488	2.127140	17.717000	141.378000	1126.080000	8927.130000	
0.018624	0.018720	0.026208	0.019968	0.030496	0.052896	0.256992	2.126690	17.727200	141.379000	1126.100000	9012.020000	
0.018528	0.020192	0.026656	0.019968	0.030208	0.049856	0.263584	2.126080	17.738300	141.418000	1125.950000	8927.920000	
0.018496	0.019168	0.023104	0.020672	0.030880	0.054048	0.255648	2.128380	17.715900	164.568000	1126.020000	8930.310000	
0.019360	0.033920	0.021728	0.024352	0.022784	0.053952	0.258208	2.132990	17.721200	164.801000	1125.940000	8925.590000	
0.020416	0.021760	0.025408	0.020704	0.022144	0.056224	0.264416	2.128320	17.720400	164.691000	1125.890000	8923.300000	
