2.000000	4.000000	8.000000	16.000000	32.000000	64.000000	128.000000	256.000000	512.000000	1024.000000	2048.000000	
0.022400	0.018336	0.041920	0.028928	0.034528	0.075456	0.433056	4.658940	40.360900	326.120000	2575.900000	
0.018112	0.019136	0.024960	0.024800	0.034176	0.076096	0.442208	4.661700	40.367700	322.669000	2573.330000	
0.018144	0.022656	0.023264	0.032320	0.041056	0.071840	0.425344	4.659940	40.368500	326.107000	2575.320000	
0.018784	0.022144	0.028640	0.024288	0.030848	0.069728	0.438688	4.662020	40.365300	326.101000	2575.500000	
0.018464	0.024192	0.028576	0.020896	0.032672	0.074816	0.457376	4.662140	40.363000	322.949000	2575.350000	
0.018688	0.021376	0.023232	0.022880	0.027296	0.070112	0.438464	4.658140	40.361600	332.288000	2575.120000	
0.018368	0.021920	0.023328	0.020960	0.028448	0.073568	0.432992	4.655780	40.368100	322.651000	2575.670000	
0.018784	0.021152	0.031232	0.020320	0.028128	0.074272	0.437408	4.660190	40.367800	332.205000	2575.160000	
0.018656	0.019648	0.031456	0.027360	0.027328	0.069280	0.446048	4.669090	40.363900	326.101000	2574.690000	
