2.000000	4.000000	8.000000	16.000000	32.000000	64.000000	128.000000	256.000000	512.000000	1024.000000	
0.017984	0.018720	0.019232	0.028128	0.040064	0.195072	1.535230	13.987400	118.435000	958.169000	
0.017696	0.018752	0.018560	0.028032	0.038144	0.190368	1.424860	13.987500	118.423000	958.186000	
0.018368	0.018592	0.019200	0.024032	0.038048	0.186144	1.427300	13.987100	118.429000	957.905000	
0.018464	0.018816	0.019008	0.020224	0.041952	0.183008	1.437060	13.985600	118.406000	958.196000	
0.017856	0.018336	0.019744	0.019808	0.045152	0.184096	1.427680	13.986300	118.408000	958.172000	
0.021120	0.019680	0.025312	0.020320	0.042112	0.178720	1.424930	13.987500	118.419000	958.210000	
0.017952	0.018816	0.023296	0.020224	0.044768	0.178912	1.420960	13.996400	118.417000	958.205000	
0.017984	0.019168	0.026784	0.031168	0.046144	0.177888	1.424260	13.984400	118.434000	958.204000	
0.017568	0.018976	0.022368	0.020160	0.040992	0.177600	1.425090	13.986400	118.431000	958.214000	
