2.000000	4.000000	8.000000	16.000000	32.000000	64.000000	128.000000	256.000000	512.000000	1024.000000	
0.019168	0.024480	0.021312	0.024512	0.051584	0.178560	1.479390	17.200800	151.558000	1241.000000	
0.018272	0.021440	0.029280	0.020960	0.046336	0.181184	1.490980	17.203600	151.628000	1240.990000	
0.018272	0.018304	0.030720	0.020032	0.044288	0.175584	1.476670	17.205800	151.572000	1240.750000	
0.018208	0.025632	0.019872	0.020192	0.040704	0.183488	1.488860	17.200900	151.617000	1240.960000	
0.018016	0.022720	0.031488	0.020576	0.050208	0.179264	1.489600	17.206700	151.554000	1240.980000	
0.017824	0.019488	0.023584	0.020800	0.045440	0.178912	1.478210	17.213700	151.623000	1240.930000	
0.020032	0.025760	0.021344	0.021408	0.044352	0.175136	1.474140	17.211100	151.575000	1241.010000	
0.019008	0.026208	0.021280	0.027904	0.040896	0.173824	1.476510	17.201600	151.543000	1240.920000	
0.019008	0.027136	0.019520	0.028032	0.041408	0.185312	1.470370	17.203100	151.590000	1240.900000	
