32.000000	64.000000	128.000000	256.000000	512.000000	1024.000000	2048.000000	4096.000000	8192.000000	
0.046912	0.077664	0.123968	0.369120	2.590180	23.221000	199.739000	1662.340000	13318.000000	
0.046688	0.071392	0.130944	0.362880	2.584130	22.999600	199.915000	1661.500000	13300.900000	
0.050240	0.080672	0.138976	0.365216	2.597250	22.997300	198.959000	1667.050000	13317.300000	
0.043520	0.072064	0.137856	0.367648	2.610110	22.898900	199.653000	1665.910000	13319.700000	
0.054912	0.071968	0.133088	0.358336	2.613340	22.971500	199.384000	1669.190000	13314.300000	
0.045856	0.064544	0.131264	0.374912	2.590430	22.971700	198.760000	1667.430000	13320.900000	
0.054912	0.068704	0.134688	0.365920	2.582340	22.815000	199.914000	1670.230000	13336.500000	
0.036992	0.061248	0.115584	0.372544	2.630460	23.070800	198.877000	1665.360000	13336.000000	
0.050432	0.070592	0.132224	0.366368	2.580350	23.097900	199.383000	1671.690000	13321.100000	
